Descripcion;Modelo;Fabricante;No_Mppt;Pot_nom;Pot_FV_in_min;Pot_FV_in_max;Imax_in_Mppt1;Imax_in_Mppt2;Imax_in_Mppt1+2;Imax_in_Mppt3;ISCmax_Mppt1;ISCmax_Mppt2;ISCmax_Mppt3;ISCmax_Mppt1+2;Vin_min;Vin_max;Vop_min;Vop_max;Vsal_1;Vsal_2;Vsal_3;Tipo_conex;Psal_1;Psal_2;Pot_sal_3;Isal_max_1;Isal_max_2;Isal_max_3;I_int_sal_1;I_int_sal_2;I_int_sal_3
Inversor Fronius Symo 10kW 208/240V  3~;SYMO 10.0-3 208/240;Fronius;2;10;8;13;25;16,5;NA;NA;37,5;24,8;NA;NA;200;600;300;500;208;240;NA;Trif sica;9995;9995;NA;27,7;24,4;NA;35;30;NA
Inversor Fronius Symo 12kW 208/240V  3~;SYMO 12.0-3 208/240;Fronius;2;12;9,5;15,5;25;16,5;NA;NA;37,5;24,8;NA;NA;200;600;300;500;208;240;NA;Trif sica;11995;11995;NA;33,3;28,9;NA;45;40;NA
Inversor Fronius Symo 10kW 480V  3~;SYMO 10.0-3 480;Fronius;2;10;8;13;25;16,5;NA;NA;37,5;24,8;NA;NA;200;1000;300;800;480;NA;NA;Trif sica;9995;NA;NA;12;NA;NA;15;NA;NA
Inversor Fronius Symo 12.5kW 480V  3~;SYMO 12.5-3 480;Fronius;2;12,5;10;16;25;16,5;NA;NA;37,5;24,8;NA;NA;200;1000;350;800;480;NA;NA;Trif sica;12495;NA;NA;15;NA;NA;20;NA;NA
Inversor Fronius Symo 15kW 480V  3~;SYMO 15.0-3 480;Fronius;2;15;12;19,5;33;25;51;NA;49,5;37,5;NA;76,5;200;1000;350;800;480;440;NA;Trif sica;14995;14995;NA;18;19,7;NA;25;25;NA
Inversor Fronius Symo 17.5kW 480V  3~;SYMO 17.5-3 480;Fronius;2;17,5;14;23;25;16,5;NA;NA;37,5;24,8;NA;NA;200;1000;400;800;480;NA;NA;Trif sica;17495;NA;NA;21;NA;NA;30;NA;NA
Inversor Fronius Symo 20kW 480V  3~;SYMO 20.0-3 480;Fronius;2;20;16;26;33;25;NA;NA;49,5;37,5;NA;NA;200;1000;450;800;480;NA;NA;Trif sica;19995;NA;NA;24;NA;NA;30;NA;NA
Inversor Fronius Symo 22,7kW 480V  3~;SYMO 22.7-3 480;Fronius;2;22,7;18;29,5;33;25;51;NA;49,5;37,5;NA;76,5;200;1000;500;800;480;440;NA;Trif sica;22727;22727;NA;27,3;29,8;NA;35;40;NA
Inversor Fronius Symo 24kW 480V  3~;SYMO 24.0-3 480;Fronius;2;24;19;31;33;25;NA;NA;49,5;37,5;NA;NA;200;1000;500;800;480;NA;NA;Trif sica;23995;NA;NA;28,9;NA;NA;40;NA;NA
Inversor Fronius Primo 3,8kW 208/240V  1~;PRIMO 3.8-1 208/240;Fronius;2;3,8;3;6;18;18;36;NA;27;27;NA;54;80;600;200;480;208;240;NA;Monof sica;3800;3800;NA;18,3;15,8;NA;25;20;NA
Inversor Fronius Primo 5kW 208/240V  1~;PRIMO 5.0-1 208/240;Fronius;2;5;4;7,8;18;18;36;NA;27;27;NA;54;80;600;200;400;208;240;NA;Monof sica;5000;500;NA;24;20,8;NA;30;30;NA
Inversor Fronius Primo 6kW 208/240V  1~;PRIMO 6.0-1 208/240;Fronius;2;6;4,8;9,3;18;18;36;NA;27;27;NA;54;80;600;240;480;208;240;NA;Monof sica;6000;6000;NA;28,8;25;NA;40;35;NA
Inversor Fronius Primo 7kW 208/240V  1~;PRIMO 7.6-1 208/240;Fronius;2;7,6;6,1;11,7;18;18;36;NA;27;27;NA;54;80;600;250;480;208;240;NA;Monof sica;7600;7600;NA;36,5;31,7;NA;50;40;NA
Inversor Fronius Primo 8kW 208/240V  1~;PRIMO 8.2-1 208/240;Fronius;2;8,2;6,6;12,7;18;18;36;NA;27;27;NA;54;80;600;270;480;208;240;NA;Monof sica;7900;8200;NA;38;34,2;NA;50;45;NA
Inversor Fronius Primo 10kW 208/240V  1~;PRIMO 10.0-1 208/240;Fronius;2;10;8;12;33;18;51;NA;49,5;27;NA;76,5;80;600;220;480;208;240;NA;Monof sica;9995;9995;NA;48,1;41,6;NA;70;60;NA
Inversor Fronius Primo 11kW 208/240V  1~;PRIMO 11.4-1 208/240;Fronius;2;11,4;9,1;13,7;33;18;51;NA;49,5;27;NA;76,5;80;600;240;480;208;240;NA;Monof sica;11400;11400;NA;54,8;47,5;NA;70;60;NA
Inversor Fronius Primo 12kW 208/240V  1~;PRIMO 12.5-1 208/240;Fronius;2;12,5;10;15;33;18;51;NA;49,5;27;NA;76,5;80;600;260;480;208;240;NA;Monof sica;12500;12500;NA;60,1;52,1;NA;80;70;NA
Inversor Fronius Primo 15kW 208/240V  1~;PRIMO 15.0-1 208/240;Fronius;2;15;12;18;33;18;51;NA;49,5;27;NA;76,5;80;600;320;480;208;240;NA;Monof sica;13750;15000;NA;66,1;62,5;NA;90;80;NA
Inversor SMA Sunny Boy 3.0   220/240V   1~;Sunny Boy 3.0;SMA;2;3;3;5,5;15;15;NA;NA;22,5;22,5;NA;NA;125;600;110;500;220;240;NA;Monof sica;3000;3680;NA;16;16;NA;20;20;NA
Inversor SMA Sunny Boy 3.6   220/240V   1~;Sunny Boy 3.6;SMA;2;3,6;3,6;5,5;15;15;NA;NA;22,5;22,5;NA;NA;125;600;130;500;220;240;NA;Monof sica;3000;3680;NA;16;16;NA;20;20;NA
Inversor SMA Sunny Boy 4.0   220/240V   1~;Sunny Boy 4.0;SMA;2;4;4;7,5;15;15;NA;NA;22,5;22,5;NA;NA;125;600;140;500;220;240;NA;Monof sica;3000;3680;NA;22;22;NA;30;30;NA
Inversor SMA Sunny Boy 5.0   220/240V   1~;Sunny Boy 5.0;SMA;2;5;5;7,5;15;15;NA;NA;22,5;22,5;NA;NA;125;600;175;500;220;240;NA;Monof sica;3000;3680;NA;22;22;NA;30;30;NA
INVERSOR PARA PROBAR APP (NO USAR);PRUEBA1;PRUEBA;3;10;8;13;18;15;NA;15;27;22,5;22,5;NA;200;1000;300;800;220;240;NA;Trif sica;10000;10000;NA;25;28;NA;35;35;NA
