Descripcion;Tipo_Accesorio;Material;Longitud;Alto;Ancho;Precio
Tapa inferior Bandeja portacable Aluminio 3m 750mm ;Tapa inferior;Aluminio;3;;750;
Tapa inferior Bandeja portacable Aluminio 3m 800mm ;Tapa inferior;Aluminio;3;;800;
Tapa inferior Bandeja portacable Aluminio 3m 900mm ;Tapa inferior;Aluminio;3;;900;
Tapa inferior Bandeja portacable Acero 2,4m 50mm ;Tapa inferior;Acero;2,4;;50;
Tapa inferior Bandeja portacable Acero 2,4m 75mm ;Tapa inferior;Acero;2,4;;75;
Tapa inferior Bandeja portacable Acero 2,4m 100mm ;Tapa inferior;Acero;2,4;;100;
Tapa inferior Bandeja portacable Acero 2,4m 150mm ;Tapa inferior;Acero;2,4;;150;
Tapa inferior Bandeja portacable Acero 2,4m 200mm ;Tapa inferior;Acero;2,4;;200;
Tapa inferior Bandeja portacable Acero 2,4m 225mm ;Tapa inferior;Acero;2,4;;225;
Tapa inferior Bandeja portacable Acero 2,4m 300mm ;Tapa inferior;Acero;2,4;;300;
Tapa inferior Bandeja portacable Acero 2,4m 400mm ;Tapa inferior;Acero;2,4;;400;
Tapa inferior Bandeja portacable Acero 2,4m 450mm ;Tapa inferior;Acero;2,4;;450;
Tapa inferior Bandeja portacable Acero 2,4m 500mm ;Tapa inferior;Acero;2,4;;500;
Tapa inferior Bandeja portacable Acero 2,4m 600mm ;Tapa inferior;Acero;2,4;;600;
Tapa inferior Bandeja portacable Acero 2,4m 700mm ;Tapa inferior;Acero;2,4;;700;
Tapa inferior Bandeja portacable Acero 2,4m 750mm ;Tapa inferior;Acero;2,4;;750;
Tapa inferior Bandeja portacable Acero 2,4m 800mm ;Tapa inferior;Acero;2,4;;800;
Tapa inferior Bandeja portacable Acero 2,4m 900mm ;Tapa inferior;Acero;2,4;;900;
Tapa inferior Bandeja portacable Acero 3m 50mm ;Tapa inferior;Acero;3;;50;
Tapa inferior Bandeja portacable Acero 3m 75mm ;Tapa inferior;Acero;3;;75;
Tapa inferior Bandeja portacable Acero 3m 100mm ;Tapa inferior;Acero;3;;100;
Tapa inferior Bandeja portacable Acero 3m 150mm ;Tapa inferior;Acero;3;;150;
Tapa inferior Bandeja portacable Acero 3m 200mm ;Tapa inferior;Acero;3;;200;
Tapa inferior Bandeja portacable Acero 3m 225mm ;Tapa inferior;Acero;3;;225;
Tapa inferior Bandeja portacable Acero 3m 300mm ;Tapa inferior;Acero;3;;300;
Tapa inferior Bandeja portacable Acero 3m 400mm ;Tapa inferior;Acero;3;;400;
Tapa inferior Bandeja portacable Acero 3m 450mm ;Tapa inferior;Acero;3;;450;
Tapa inferior Bandeja portacable Acero 3m 500mm ;Tapa inferior;Acero;3;;500;
Tapa inferior Bandeja portacable Acero 3m 600mm ;Tapa inferior;Acero;3;;600;
Tapa inferior Bandeja portacable Acero 3m 700mm ;Tapa inferior;Acero;3;;700;
Tapa inferior Bandeja portacable Acero 3m 750mm ;Tapa inferior;Acero;3;;750;
Tapa inferior Bandeja portacable Acero 3m 800mm ;Tapa inferior;Acero;3;;800;
Tapa inferior Bandeja portacable Acero 3m 900mm ;Tapa inferior;Acero;3;;900;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 50mm ;Tapa inferior;Acero Inoxidable;2,4;;50;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 75mm ;Tapa inferior;Acero Inoxidable;2,4;;75;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 100mm ;Tapa inferior;Acero Inoxidable;2,4;;100;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 150mm ;Tapa inferior;Acero Inoxidable;2,4;;150;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 200mm ;Tapa inferior;Acero Inoxidable;2,4;;200;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 225mm ;Tapa inferior;Acero Inoxidable;2,4;;225;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 300mm ;Tapa inferior;Acero Inoxidable;2,4;;300;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 400mm ;Tapa inferior;Acero Inoxidable;2,4;;400;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 450mm ;Tapa inferior;Acero Inoxidable;2,4;;450;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 500mm ;Tapa inferior;Acero Inoxidable;2,4;;500;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 600mm ;Tapa inferior;Acero Inoxidable;2,4;;600;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 700mm ;Tapa inferior;Acero Inoxidable;2,4;;700;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 750mm ;Tapa inferior;Acero Inoxidable;2,4;;750;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 800mm ;Tapa inferior;Acero Inoxidable;2,4;;800;
Tapa inferior Bandeja portacable Acero Inoxidable 2,4m 900mm ;Tapa inferior;Acero Inoxidable;2,4;;900;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 50mm ;Tapa inferior;Acero Inoxidable;3;;50;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 75mm ;Tapa inferior;Acero Inoxidable;3;;75;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 100mm ;Tapa inferior;Acero Inoxidable;3;;100;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 150mm ;Tapa inferior;Acero Inoxidable;3;;150;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 200mm ;Tapa inferior;Acero Inoxidable;3;;200;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 225mm ;Tapa inferior;Acero Inoxidable;3;;225;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 300mm ;Tapa inferior;Acero Inoxidable;3;;300;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 400mm ;Tapa inferior;Acero Inoxidable;3;;400;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 450mm ;Tapa inferior;Acero Inoxidable;3;;450;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 500mm ;Tapa inferior;Acero Inoxidable;3;;500;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 600mm ;Tapa inferior;Acero Inoxidable;3;;600;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 700mm ;Tapa inferior;Acero Inoxidable;3;;700;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 750mm ;Tapa inferior;Acero Inoxidable;3;;750;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 800mm ;Tapa inferior;Acero Inoxidable;3;;800;
Tapa inferior Bandeja portacable Acero Inoxidable 3m 900mm ;Tapa inferior;Acero Inoxidable;3;;900;
Tapa inferior Bandeja portacable PVC 2,4m 50mm ;Tapa inferior;PVC;2,4;;50;
Tapa inferior Bandeja portacable PVC 2,4m 75mm ;Tapa inferior;PVC;2,4;;75;
Tapa inferior Bandeja portacable PVC 2,4m 100mm ;Tapa inferior;PVC;2,4;;100;
Tapa inferior Bandeja portacable PVC 2,4m 150mm ;Tapa inferior;PVC;2,4;;150;
Tapa inferior Bandeja portacable PVC 2,4m 200mm ;Tapa inferior;PVC;2,4;;200;
Tapa inferior Bandeja portacable PVC 2,4m 225mm ;Tapa inferior;PVC;2,4;;225;
Tapa inferior Bandeja portacable PVC 2,4m 300mm ;Tapa inferior;PVC;2,4;;300;
Tapa inferior Bandeja portacable PVC 2,4m 400mm ;Tapa inferior;PVC;2,4;;400;
Tapa inferior Bandeja portacable PVC 2,4m 450mm ;Tapa inferior;PVC;2,4;;450;
Tapa inferior Bandeja portacable PVC 2,4m 500mm ;Tapa inferior;PVC;2,4;;500;
Tapa inferior Bandeja portacable PVC 2,4m 600mm ;Tapa inferior;PVC;2,4;;600;
Tapa inferior Bandeja portacable PVC 2,4m 700mm ;Tapa inferior;PVC;2,4;;700;
Tapa inferior Bandeja portacable PVC 2,4m 750mm ;Tapa inferior;PVC;2,4;;750;
Tapa inferior Bandeja portacable PVC 2,4m 800mm ;Tapa inferior;PVC;2,4;;800;
Tapa inferior Bandeja portacable PVC 2,4m 900mm ;Tapa inferior;PVC;2,4;;900;
Tapa inferior Bandeja portacable PVC 3m 50mm ;Tapa inferior;PVC;3;;50;
Tapa inferior Bandeja portacable PVC 3m 75mm ;Tapa inferior;PVC;3;;75;
Tapa inferior Bandeja portacable PVC 3m 100mm ;Tapa inferior;PVC;3;;100;
Tapa inferior Bandeja portacable PVC 3m 150mm ;Tapa inferior;PVC;3;;150;
Tapa inferior Bandeja portacable PVC 3m 200mm ;Tapa inferior;PVC;3;;200;
Tapa inferior Bandeja portacable PVC 3m 225mm ;Tapa inferior;PVC;3;;225;
Tapa inferior Bandeja portacable PVC 3m 300mm ;Tapa inferior;PVC;3;;300;
Tapa inferior Bandeja portacable PVC 3m 400mm ;Tapa inferior;PVC;3;;400;
Tapa inferior Bandeja portacable PVC 3m 450mm ;Tapa inferior;PVC;3;;450;
Tapa inferior Bandeja portacable PVC 3m 500mm ;Tapa inferior;PVC;3;;500;
Tapa inferior Bandeja portacable PVC 3m 600mm ;Tapa inferior;PVC;3;;600;
Tapa inferior Bandeja portacable PVC 3m 700mm ;Tapa inferior;PVC;3;;700;
Tapa inferior Bandeja portacable PVC 3m 750mm ;Tapa inferior;PVC;3;;750;
Tapa inferior Bandeja portacable PVC 3m 800mm ;Tapa inferior;PVC;3;;800;
Tapa inferior Bandeja portacable PVC 3m 900mm ;Tapa inferior;PVC;3;;900;
Perfiles separadores Bandeja portacable Aluminio 2,4m 50mm ;Perfiles separadores;Aluminio;2,4;50;;
Perfiles separadores Bandeja portacable Aluminio 2,4m 60mm ;Perfiles separadores;Aluminio;2,4;60;;
Perfiles separadores Bandeja portacable Aluminio 2,4m 75mm ;Perfiles separadores;Aluminio;2,4;75;;
Perfiles separadores Bandeja portacable Aluminio 2,4m 80mm ;Perfiles separadores;Aluminio;2,4;80;;
Perfiles separadores Bandeja portacable Aluminio 2,4m 100mm ;Perfiles separadores;Aluminio;2,4;100;;
Perfiles separadores Bandeja portacable Aluminio 2,4m 150mm ;Perfiles separadores;Aluminio;2,4;150;;
Perfiles separadores Bandeja portacable Aluminio 3m 50mm ;Perfiles separadores;Aluminio;3;50;;
Perfiles separadores Bandeja portacable Aluminio 3m 60mm ;Perfiles separadores;Aluminio;3;60;;
Perfiles separadores Bandeja portacable Aluminio 3m 75mm ;Perfiles separadores;Aluminio;3;75;;
Perfiles separadores Bandeja portacable Aluminio 3m 80mm ;Perfiles separadores;Aluminio;3;80;;
Perfiles separadores Bandeja portacable Aluminio 3m 100mm ;Perfiles separadores;Aluminio;3;100;;
Perfiles separadores Bandeja portacable Aluminio 3m 150mm ;Perfiles separadores;Aluminio;3;150;;
Perfiles separadores Bandeja portacable Acero 2,4m 50mm ;Perfiles separadores;Acero;2,4;50;;
Perfiles separadores Bandeja portacable Acero 2,4m 60mm ;Perfiles separadores;Acero;2,4;60;;
Perfiles separadores Bandeja portacable Acero 2,4m 75mm ;Perfiles separadores;Acero;2,4;75;;
Perfiles separadores Bandeja portacable Acero 2,4m 80mm ;Perfiles separadores;Acero;2,4;80;;
Perfiles separadores Bandeja portacable Acero 2,4m 100mm ;Perfiles separadores;Acero;2,4;100;;
Perfiles separadores Bandeja portacable Acero 2,4m 150mm ;Perfiles separadores;Acero;2,4;150;;
Perfiles separadores Bandeja portacable Acero 3m 50mm ;Perfiles separadores;Acero;3;50;;
Perfiles separadores Bandeja portacable Acero 3m 60mm ;Perfiles separadores;Acero;3;60;;
Perfiles separadores Bandeja portacable Acero 3m 75mm ;Perfiles separadores;Acero;3;75;;
Perfiles separadores Bandeja portacable Acero 3m 80mm ;Perfiles separadores;Acero;3;80;;
Perfiles separadores Bandeja portacable Acero 3m 100mm ;Perfiles separadores;Acero;3;100;;
Perfiles separadores Bandeja portacable Acero 3m 150mm ;Perfiles separadores;Acero;3;150;;
Perfiles separadores Bandeja portacable Acero Inoxidable 2,4m 50mm ;Perfiles separadores;Acero Inoxidable;2,4;50;;
Perfiles separadores Bandeja portacable Acero Inoxidable 2,4m 60mm ;Perfiles separadores;Acero Inoxidable;2,4;60;;
Perfiles separadores Bandeja portacable Acero Inoxidable 2,4m 75mm ;Perfiles separadores;Acero Inoxidable;2,4;75;;
Perfiles separadores Bandeja portacable Acero Inoxidable 2,4m 80mm ;Perfiles separadores;Acero Inoxidable;2,4;80;;
Perfiles separadores Bandeja portacable Acero Inoxidable 2,4m 100mm ;Perfiles separadores;Acero Inoxidable;2,4;100;;
Perfiles separadores Bandeja portacable Acero Inoxidable 2,4m 150mm ;Perfiles separadores;Acero Inoxidable;2,4;150;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 50mm ;Perfiles separadores;Acero Inoxidable;3;50;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 60mm ;Perfiles separadores;Acero Inoxidable;3;60;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 75mm ;Perfiles separadores;Acero Inoxidable;3;75;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 80mm ;Perfiles separadores;Acero Inoxidable;3;80;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 100mm ;Perfiles separadores;Acero Inoxidable;3;100;;
Perfiles separadores Bandeja portacable Acero Inoxidable 3m 150mm ;Perfiles separadores;Acero Inoxidable;3;150;;
Perfiles separadores Bandeja portacable PVC 2,4m 50mm ;Perfiles separadores;PVC;2,4;50;;
Perfiles separadores Bandeja portacable PVC 2,4m 60mm ;Perfiles separadores;PVC;2,4;60;;
Perfiles separadores Bandeja portacable PVC 2,4m 75mm ;Perfiles separadores;PVC;2,4;75;;
Perfiles separadores Bandeja portacable PVC 2,4m 80mm ;Perfiles separadores;PVC;2,4;80;;
Perfiles separadores Bandeja portacable PVC 2,4m 100mm ;Perfiles separadores;PVC;2,4;100;;
Perfiles separadores Bandeja portacable PVC 2,4m 150mm ;Perfiles separadores;PVC;2,4;150;;
Perfiles separadores Bandeja portacable PVC 3m 50mm ;Perfiles separadores;PVC;3;50;;
Perfiles separadores Bandeja portacable PVC 3m 60mm ;Perfiles separadores;PVC;3;60;;
Perfiles separadores Bandeja portacable PVC 3m 75mm ;Perfiles separadores;PVC;3;75;;
Perfiles separadores Bandeja portacable PVC 3m 80mm ;Perfiles separadores;PVC;3;80;;
Perfiles separadores Bandeja portacable PVC 3m 100mm ;Perfiles separadores;PVC;3;100;;
Perfiles separadores Bandeja portacable PVC 3m 150mm ;Perfiles separadores;PVC;3;150;;
